"Date.Time","Unit","temp","cohort","block","hour","minute","Date"
2020-10-01 14:56:00,"C",28,1,1,14,56,2020-10-01
2020-10-01 15:56:00,"C",26.5,1,1,15,56,2020-10-01
2020-10-01 16:56:00,"C",27,1,1,16,56,2020-10-01
2020-10-01 17:56:00,"C",24.5,1,1,17,56,2020-10-01
2020-10-01 18:56:00,"C",24,1,1,18,56,2020-10-01
2020-10-01 19:56:00,"C",23.5,1,1,19,56,2020-10-01
2020-10-01 20:56:00,"C",22.5,1,1,20,56,2020-10-01
2020-10-01 21:56:00,"C",21.5,1,1,21,56,2020-10-01
2020-10-01 22:56:00,"C",21,1,1,22,56,2020-10-01
2020-10-01 23:56:00,"C",20,1,1,23,56,2020-10-01
2020-10-02 00:56:00,"C",19.5,1,1,0,56,2020-10-02
2020-10-02 01:56:00,"C",19,1,1,1,56,2020-10-02
2020-10-02 02:56:00,"C",18.5,1,1,2,56,2020-10-02
2020-10-02 03:56:00,"C",17.5,1,1,3,56,2020-10-02
2020-10-02 04:56:00,"C",17,1,1,4,56,2020-10-02
2020-10-02 05:56:00,"C",16.5,1,1,5,56,2020-10-02
2020-10-02 06:56:00,"C",16,1,1,6,56,2020-10-02
2020-10-02 07:56:00,"C",16,1,1,7,56,2020-10-02
2020-10-02 08:56:00,"C",17,1,1,8,56,2020-10-02
2020-10-02 09:56:00,"C",19.5,1,1,9,56,2020-10-02
2020-10-02 10:56:00,"C",22,1,1,10,56,2020-10-02
2020-10-02 11:56:00,"C",23.5,1,1,11,56,2020-10-02
2020-10-02 12:56:00,"C",26.5,1,1,12,56,2020-10-02
2020-10-02 13:56:00,"C",26,1,1,13,56,2020-10-02
2020-10-02 14:56:00,"C",27,1,1,14,56,2020-10-02
2020-10-02 15:56:00,"C",25.5,1,1,15,56,2020-10-02
2020-10-02 16:56:00,"C",25.5,1,1,16,56,2020-10-02
2020-10-02 17:56:00,"C",24.5,1,1,17,56,2020-10-02
2020-10-02 18:56:00,"C",24,1,1,18,56,2020-10-02
2020-10-02 19:56:00,"C",23,1,1,19,56,2020-10-02
2020-10-02 20:56:00,"C",22,1,1,20,56,2020-10-02
2020-10-02 21:56:00,"C",21.5,1,1,21,56,2020-10-02
2020-10-02 22:56:00,"C",20.5,1,1,22,56,2020-10-02
2020-10-02 23:56:00,"C",20,1,1,23,56,2020-10-02
2020-10-03 00:56:00,"C",19.5,1,1,0,56,2020-10-03
2020-10-03 01:56:00,"C",19,1,1,1,56,2020-10-03
2020-10-03 02:56:00,"C",18,1,1,2,56,2020-10-03
2020-10-03 03:56:00,"C",17.5,1,1,3,56,2020-10-03
2020-10-03 04:56:00,"C",17,1,1,4,56,2020-10-03
2020-10-03 05:56:00,"C",16.5,1,1,5,56,2020-10-03
2020-10-03 06:56:00,"C",16,1,1,6,56,2020-10-03
2020-10-03 07:56:00,"C",15.5,1,1,7,56,2020-10-03
2020-10-03 08:56:00,"C",16.5,1,1,8,56,2020-10-03
2020-10-03 09:56:00,"C",19,1,1,9,56,2020-10-03
2020-10-03 10:56:00,"C",22,1,1,10,56,2020-10-03
2020-10-03 11:56:00,"C",23.5,1,1,11,56,2020-10-03
2020-10-03 12:56:00,"C",26.5,1,1,12,56,2020-10-03
2020-10-03 13:56:00,"C",27,1,1,13,56,2020-10-03
2020-10-03 14:56:00,"C",28,1,1,14,56,2020-10-03
2020-10-03 15:56:00,"C",27,1,1,15,56,2020-10-03
2020-10-03 16:56:00,"C",27,1,1,16,56,2020-10-03
2020-10-03 17:56:00,"C",25,1,1,17,56,2020-10-03
2020-10-03 18:56:00,"C",24,1,1,18,56,2020-10-03
2020-10-03 19:56:00,"C",23.5,1,1,19,56,2020-10-03
2020-10-03 20:56:00,"C",22.5,1,1,20,56,2020-10-03
2020-10-03 21:56:00,"C",21.5,1,1,21,56,2020-10-03
2020-10-03 22:56:00,"C",20.5,1,1,22,56,2020-10-03
2020-10-03 23:56:00,"C",19.5,1,1,23,56,2020-10-03
2020-10-04 00:56:00,"C",19,1,1,0,56,2020-10-04
2020-10-04 01:56:00,"C",18,1,1,1,56,2020-10-04
2020-10-04 02:56:00,"C",17,1,1,2,56,2020-10-04
2020-10-04 03:56:00,"C",16.5,1,1,3,56,2020-10-04
2020-10-04 04:56:00,"C",15.5,1,1,4,56,2020-10-04
2020-10-04 05:56:00,"C",15,1,1,5,56,2020-10-04
