"","Population","Cohort","Old.Block","Old.Replicate","New.Block","New.Position","germdate","Notes","plantdate","germjul","plantjul","days2germ","plantSep","germSep","days2germ2","planted","germinated","water.date","RegermSep","Redays2germ","mean.Temp"
"141","CAAN1",2,2,7,6,"C_02",2021-10-04,"P 10/7","2020-10-02",277,276,367,31,398,367,1,1,2021-09-15,19,19,21.25875
"142","CAAN1",4,1,13,6,"C_04",2021-10-04,"","2020-10-30",277,304,339,59,398,339,1,1,2021-09-15,19,19,21.25875
"143","CAAN1",4,3,1,6,"E_18",2021-10-04,"","2020-10-30",277,304,339,59,398,339,1,1,2021-09-15,19,19,21.25875
"144","CAIN3",7,3,1,1,"A_07",2021-10-04,"P 10/7/21","2020-12-11",277,346,297,101,398,297,1,1,2021-09-15,19,19,21.25875
"145","CAAN1",4,1,15,4,"C_17",2021-10-04,"","2020-10-30",277,304,339,59,398,339,1,1,2021-09-15,19,19,21.25875
"146","CAAN1",2,1,4,12,"J_05",2021-10-04,"","2020-10-02",277,276,367,31,398,367,1,1,2021-09-15,19,19,21.25875
"147","STGL1",6,3,9,7,"B_14",2021-10-05,"pulled 4 fitness 2021-10-07","2020-11-27",278,332,312,87,399,312,1,1,2021-09-15,20,20,21.1789682539683
"148","STGL1",4,3,9,5,"H_17",2021-10-05,"P 10/7","2020-10-30",278,304,340,59,399,340,1,1,2021-09-15,20,20,21.1789682539683
"149","CAAN1",7,3,12,8,"B_05",2021-10-05,"P 10/7","2020-12-11",278,346,298,101,399,298,1,1,2021-09-15,20,20,21.1789682539683
"150","STDI",7,2,4,13,"C_16",2021-10-05,"","2020-12-11",278,346,298,101,399,298,1,1,2021-09-15,20,20,21.1789682539683
"151","CAAN2",5,1,16,6,"B_06",2021-10-05,"","2020-11-13",278,318,326,73,399,326,1,1,2021-09-15,20,20,21.1789682539683
"152","CAAN1",2,1,5,6,"E_11",2021-10-05,"","2020-10-02",278,276,368,31,399,368,1,1,2021-09-15,20,20,21.1789682539683
"153","CAAN2",6,3,11,6,"E_12",2021-10-05,"P 10/7","2020-11-27",278,332,312,87,399,312,1,1,2021-09-15,20,20,21.1789682539683
"154","CAAN1",1,1,11,9,"A_06",2021-10-05,"P 10/7","2020-09-17",278,261,383,16,399,383,1,1,2021-09-15,20,20,21.1789682539683
"155","CAAN1",7,3,5,9,"C_10",2021-10-05,"","2020-12-11",278,346,298,101,399,298,1,1,2021-09-15,20,20,21.1789682539683
"156","CAAN1",3,2,3,9,"D_10",2021-10-05,"","2020-10-16",278,290,354,45,399,354,1,1,2021-09-15,20,20,21.1789682539683
"157","STPO1",5,2,6,1,"C_08",2021-10-05,"","2020-11-13",278,318,326,73,399,326,1,1,2021-09-15,20,20,21.1789682539683
"158","CAAN1",4,1,1,1,"E_12",2021-10-05,"","2020-10-30",278,304,340,59,399,340,1,1,2021-09-15,20,20,21.1789682539683
"159","STGL1",1,3,7,2,"F_17",2021-10-05,"P 10/7","2020-09-17",278,261,383,16,399,383,1,1,2021-09-15,20,20,21.1789682539683
"160","STIN",5,2,12,4,"I_11",2021-10-05,"","2020-11-13",278,318,326,73,399,326,1,1,2021-09-15,20,20,21.1789682539683
"161","CAAN2",6,1,12,4,"I_15",2021-10-05,"","2020-11-27",278,332,312,87,399,312,1,1,2021-09-15,20,20,21.1789682539683
"162","STGL1",4,3,14,4,"J_18",2021-10-05,"P 10/7","2020-10-30",278,304,340,59,399,340,1,1,2021-09-15,20,20,21.1789682539683
"163","CAAN1",2,1,11,3,"B_20",2021-10-05,"","2020-10-02",278,276,368,31,399,368,1,1,2021-09-15,20,20,21.1789682539683
"164","STBR3",7,3,15,3,"C_02",2021-10-05,"","2020-12-11",278,346,298,101,399,298,1,1,2021-09-15,20,20,21.1789682539683
"165","CAAN1",7,1,2,3,"G_16",2021-10-05,"","2020-12-11",278,346,298,101,399,298,1,1,2021-09-15,20,20,21.1789682539683
"166","CAAN2",5,3,11,3,"G_19",2021-10-05,"P 10/7","2020-11-13",278,318,326,73,399,326,1,1,2021-09-15,20,20,21.1789682539683
"167","CAAN1",3,2,2,11,"G_07",2021-10-05,"","2020-10-16",278,290,354,45,399,354,1,1,2021-09-15,20,20,21.1789682539683
"168","STGL1",7,2,1,11,"J_07",2021-10-05,"","2020-12-11",278,346,298,101,399,298,1,1,2021-09-15,20,20,21.1789682539683
"169","STGL1",7,2,6,12,"E_15",2021-10-05,"P 10/7","2020-12-11",278,346,298,101,399,298,1,1,2021-09-15,20,20,21.1789682539683
"170","STGL1",6,2,10,10,"B_02",2021-10-05,"P 10/7","2020-11-27",278,332,312,87,399,312,1,1,2021-09-15,20,20,21.1789682539683
